City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Petatlan,40,MX,1550799600,69,17.52,-101.27,78.8,7.29
Takoradi,0,GH,1550803606,100,4.89,-1.75,80.72,8.52
West Wendover,1,US,1550800560,63,40.74,-114.07,26.6,12.75
Ancud,92,CL,1550800800,87,-41.87,-73.83,42.8,3.36
Fairbanks,1,US,1550800680,71,64.84,-147.72,10.4,2.26
Mersing,44,MY,1550803569,76,2.43,103.84,85.04,10.2
Riyadh,0,SA,1550800800,28,24.63,46.72,57.2,8.05
Kulu,88,CD,1550803613,52,3.47,23.69,77.62,1.14
Olinda,75,EC,1550800800,79,-2.03,-79.75,84.2,5.82
Finschhafen,88,PG,1550803616,59,-6.6,147.85,84.41,1.14
Torbay,90,CA,1550800800,56,47.66,-52.73,14.0,13.87
Teya,5,MX,1550799900,61,21.05,-89.07,82.4,21.92
Freiberg,90,DE,1550800200,100,50.92,13.34,46.4,13.87
Vaini,0,IN,1550800800,82,15.34,74.49,64.4,3.94
Save,8,BJ,1550803626,67,8.04,2.49,78.38,5.28
Shache,0,CN,1550803627,48,38.42,77.24,32.53,12.21
Mar del Plata,8,AR,1550803628,65,-46.43,-67.52,51.47,8.86
Marawi,20,PH,1550803630,48,8.0,124.29,83.02,3.27
Gao,0,ML,1550803632,45,16.28,-0.04,61.42,9.31
Leningradskiy,44,RU,1550803633,86,69.38,178.42,4.76,10.65
Port Elizabeth,1,US,1550800560,93,39.31,-74.98,46.4,3.36
Chokurdakh,8,RU,1550803635,43,70.62,147.9,-27.51,2.93
Eston,5,CA,1550800800,83,51.15,-108.75,-9.41,18.34
Diu,0,IN,1550803638,74,20.71,70.98,65.65,5.17
Yamada,75,JP,1550800800,45,36.58,137.08,48.2,3.36
Bredasdorp,24,ZA,1550800800,82,-34.53,20.04,68.0,6.93
Jimeta,0,NG,1550803641,68,9.28,12.44,64.16,2.59
Port Alfred,32,ZA,1550803643,90,-33.59,26.89,69.92,13.67
Merauke,24,ID,1550803644,78,-8.49,140.4,86.8,14.45
Geraldton,75,CA,1550800800,72,49.72,-86.95,17.6,3.36
Padilla,75,CO,1550800800,83,3.23,-76.31,71.6,8.05
Bournemouth,90,GB,1550800200,100,50.72,-1.88,44.6,6.93
Hofn,12,IS,1550803649,90,64.25,-15.21,43.73,14.0
Manado,40,ID,1550800800,66,1.49,124.85,86.0,5.82
Yabrud,0,SY,1550800800,86,33.97,36.66,33.8,3.71
Kribi,0,CM,1550803653,96,2.94,9.91,72.17,4.83
Yarim,0,YE,1550803654,78,14.3,44.38,38.96,1.14
Khatanga,24,RU,1550803655,61,71.98,102.47,-21.21,7.63
Sisimiut,68,GL,1550803656,85,66.94,-53.67,1.07,0.92
Taraz,0,KZ,1550800800,92,42.89,71.39,17.6,2.24
Kayerkan,80,RU,1550803659,57,69.35,87.76,-12.07,3.94
Chuy,0,UY,1550803660,67,-33.69,-53.46,77.3,15.79
Alta Floresta,64,BR,1550803531,96,-9.87,-56.08,74.87,1.92
Aldan,64,RU,1550803664,67,58.61,125.39,13.04,5.17
Yashan,88,CN,1550803665,99,30.81,118.02,39.14,3.94
Sitka,0,US,1550803414,62,37.17,-99.65,38.24,14.23
Matagami,8,NG,1550803667,50,9.67,8.4,61.55,3.94
Pisco,0,PE,1550800800,78,-13.71,-76.2,75.2,6.93
Barahona,0,DO,1550803670,95,18.21,-71.1,78.56,20.71
Shuangyang,64,CN,1550803671,88,25.0,118.61,61.64,4.16
Carnarvon,36,ZA,1550803672,58,-30.97,22.13,57.28,3.38
Khorixas,0,NA,1550803677,30,-20.37,14.96,67.27,4.94
Vallenar,0,CL,1550803679,82,-28.58,-70.76,58.27,1.81
Talnakh,68,RU,1550803466,59,69.49,88.39,-12.97,3.83
Tamugan,40,PH,1550800800,58,7.23,125.38,84.2,13.87
Lachi,0,PK,1550803684,76,33.38,71.34,32.84,3.83
Beira,8,ES,1550800800,87,43.2,-8.36,50.0,6.93
Kitimat,90,CA,1550801580,83,54.02,-128.69,32.0,21.92
Jamestown,0,AU,1550803688,56,-33.21,138.6,77.21,9.86
Bandarbeyla,92,SO,1550803689,100,9.49,50.81,76.45,15.01
Staraya Toropa,56,RU,1550803690,75,56.28,31.67,16.37,21.72
Beringovskiy,68,RU,1550803692,98,63.05,179.32,11.83,9.42
Ixtapa,90,MX,1550799960,69,20.71,-105.21,73.4,5.82
Foeni,90,RO,1550800800,100,45.5,20.88,42.8,1.12
Zhaotong,76,CN,1550803696,83,27.34,103.71,38.51,2.59
Kupang,40,ID,1550800800,74,-10.16,123.6,86.0,4.7
Riberalta,36,BO,1550803698,90,-11.0,-66.08,75.95,2.93
Nautla,64,MX,1550803699,99,20.22,-96.78,74.69,15.68
Kuytun,80,RU,1550803700,80,54.34,101.51,27.08,7.74
Puerto Ayora,20,EC,1550803702,95,-0.74,-90.35,81.13,4.94
San Quintin,0,PH,1550803703,54,17.54,120.52,80.99,3.94
Arraial do Cabo,56,BR,1550803704,95,-22.97,-42.02,78.07,5.39
Erenhot,8,CN,1550803705,40,43.65,111.97,29.06,4.5
Kendari,24,ID,1550803708,83,-3.99,122.52,85.9,3.71
Ozernovskiy,20,RU,1550803709,97,51.5,156.52,19.97,2.15
Sao Filipe,0,CV,1550803710,95,14.9,-24.5,71.27,10.54
Guilin,75,CN,1550800800,70,25.28,110.29,46.4,8.95
Eureka,20,US,1550802900,100,40.8,-124.16,48.2,5.82
Zharkent,32,KZ,1550803714,57,44.17,80.0,7.15,2.59
Shubarkuduk,92,KZ,1550803715,87,49.15,56.49,23.75,20.49
Campbellton,20,CA,1550803716,80,48.0,-66.68,5.8,2.71
Panguna,8,PG,1550803717,47,-6.32,155.48,90.13,5.06
Ambanja,92,MG,1550803719,97,-13.68,48.45,71.54,2.37
Issenye,32,CM,1550803720,37,12.51,14.37,60.29,4.72
Baykit,76,RU,1550803722,86,61.68,96.39,22.31,7.96
Tiksi,8,RU,1550803723,53,71.64,128.87,-10.72,14.23
Westport,92,IE,1550803724,90,53.8,-9.52,52.19,29.66
Todos Santos,40,MX,1550799600,59,23.45,-110.23,66.2,6.93
Kununurra,0,AU,1550800800,44,-15.77,128.74,93.2,3.36
Richards Bay,68,ZA,1550803728,82,-28.77,32.06,71.95,9.75
Maymyo,0,MM,1550799000,77,22.03,96.47,59.0,1.12
Praia da Vitoria,75,PT,1550800800,87,38.73,-27.07,50.0,28.54
Eratira,8,GR,1550803733,88,40.35,21.52,23.03,2.59
Nemuro,0,JP,1550800800,79,43.32,145.57,28.4,9.17
Cherskiy,44,RU,1550803737,63,68.75,161.3,-21.84,3.49
Poya,20,NC,1550803739,86,-21.35,165.16,83.2,19.26
Shenzhen,75,CN,1550800800,82,22.54,114.05,64.4,11.18
Shihezi,92,CN,1550803741,72,44.3,86.03,19.79,3.71
Asyut,0,EG,1550803479,90,27.18,31.19,38.02,3.04
Ponta do Sol,32,BR,1550803744,87,-20.63,-46.0,68.39,3.71
Coquimbo,20,CL,1550800800,82,-29.95,-71.34,66.2,5.82
Cabo San Lucas,20,MX,1550799600,48,22.89,-109.91,66.2,12.75
Poum,8,MK,1550803747,72,41.28,20.71,17.81,2.26
Erdenet,0,MN,1550803749,54,49.03,104.04,21.28,3.04
Antofagasta,75,CL,1550800800,82,-23.65,-70.4,68.0,11.41
Tura,0,IN,1550803563,76,25.52,90.21,65.47,4.05
Faanui,80,PF,1550803752,95,-16.48,-151.75,84.55,18.48
Okhotsk,0,RU,1550803571,100,59.36,143.24,1.07,4.5
Metro,56,ID,1550803754,90,-5.11,105.31,83.06,6.17
Abong Mbang,12,CM,1550803756,88,3.98,13.18,70.28,4.61
Touros,40,BR,1550800800,78,-5.2,-35.46,82.4,8.05
Ovalle,92,CL,1550803758,86,-30.6,-71.2,63.98,4.16
Bansko,0,MK,1550803759,68,41.39,22.75,24.52,2.15
Bella Vista,0,AR,1550803761,49,-28.51,-59.05,85.4,8.75
Bathsheba,75,BB,1550800800,69,13.22,-59.52,78.8,23.04
Kalabo,0,ZM,1550803767,54,-15.0,22.67,71.9,11.65
San Patricio,0,PY,1550803501,60,-26.98,-56.83,80.45,4.61
Mamlyutka,0,KZ,1550800800,72,54.94,68.54,17.6,17.9
Esperance,20,TT,1550800800,78,10.24,-61.45,75.2,5.82
Ballina,92,IE,1550803773,84,54.11,-9.15,52.42,29.21
Liverpool,0,GB,1550800200,93,53.41,-2.98,44.6,8.05
Murray,90,US,1550802900,68,40.67,-111.89,30.2,16.11
Gavle,0,SE,1550803776,89,60.67,17.14,17.5,2.59
Yulara,0,AU,1550800800,9,-25.24,130.99,93.2,11.41
Bone,40,ID,1550800800,74,-10.32,123.57,86.0,4.7
Anadyr,90,RU,1550800800,78,64.73,177.51,15.8,11.18
Paamiut,92,GL,1550803565,100,61.99,-49.67,26.99,30.67
Narsaq,88,GL,1550800200,73,60.91,-46.05,23.0,16.11
Katsuura,75,JP,1550800800,49,33.93,134.5,48.2,6.93
Salalah,0,OM,1550800200,43,17.01,54.1,69.8,3.36
Hauge,56,NO,1550802000,100,59.25,10.99,30.2,3.36
Kamenka,80,RU,1550803787,90,53.19,44.05,20.69,10.87
Cayenne,40,GF,1550800800,74,4.94,-52.33,78.8,3.36
Peleduy,88,RU,1550803791,73,59.63,112.75,30.41,5.28
Linxia,8,CN,1550803793,30,35.6,103.21,34.46,3.15
The Pas,75,CA,1550800800,70,53.82,-101.24,-2.21,2.24
Loandjili,40,CG,1550800800,100,-4.77,11.87,73.4,6.93
Siniscola,0,IT,1550800200,87,40.57,9.69,44.6,11.41
Mount Isa,0,AU,1550800800,13,-20.73,139.49,93.2,12.75
Provideniya,75,RU,1550800800,92,64.42,-173.23,24.8,11.18
Gat,12,SN,1550802600,49,14.69,-16.54,69.8,18.34
Port Shepstone,64,ZA,1550803804,93,-30.74,30.45,69.74,8.75
Alofi,40,NU,1550800800,62,-19.06,-169.92,84.2,16.11
Portland,20,US,1550800560,42,45.52,-122.67,46.4,1.59
Mandalgovi,0,MN,1550803808,42,45.76,106.27,19.61,3.83
Ortigueira,8,ES,1550802600,76,43.68,-7.85,51.8,5.82
Santa Fe,0,AR,1550803811,56,-31.62,-60.7,79.73,6.06
Gizo,0,IL,1550801700,81,31.8,34.94,50.0,6.93
Cuenca,0,ES,1550803813,69,40.07,-2.13,25.37,2.71
Isangel,80,VU,1550803816,100,-19.55,169.27,82.34,10.76
Plettenberg Bay,20,ZA,1550803818,96,-34.05,23.37,66.86,14.0
Shakawe,0,BW,1550803819,62,-18.36,21.84,59.98,2.82
Strezhevoy,90,RU,1550800800,85,60.73,77.6,17.6,8.95
Viedma,44,AR,1550803822,61,-40.81,-62.99,64.12,13.89
Hobyo,80,SO,1550803823,89,5.35,48.53,76.18,16.46
Nanortalik,88,GL,1550803824,100,60.14,-45.24,27.89,38.16
Teberda,76,RU,1550803827,92,43.44,41.74,15.56,1.36
Vestmannaeyjar,8,IS,1550803612,84,63.44,-20.27,44.63,18.48
Rocha,0,UY,1550803829,57,-34.48,-54.34,74.38,7.96
Biltine,68,TD,1550803830,23,14.53,20.93,67.67,13.44
Zhicheng,0,CN,1550803831,72,35.04,112.59,45.8,4.05
Sangueya,76,GN,1550803833,80,10.7,-14.37,75.82,6.17
La Asuncion,56,EC,1550803834,100,-1.64,-78.74,45.85,2.37
Illintsi,88,UA,1550803835,80,49.11,29.2,22.63,8.41
Meadow Lake,0,CA,1550803836,75,54.13,-108.44,-1.23,7.18
Kruisfontein,36,ZA,1550803838,89,-34.0,24.73,66.59,12.55
Peace River,90,CA,1550800800,72,56.23,-117.29,10.4,2.24
San Cristobal,20,EC,1550800800,87,-0.39,-78.55,55.4,2.24
Matara,44,PE,1550803569,91,-13.74,-72.9,44.05,1.92
Muravlenko,88,RU,1550803844,75,63.79,74.5,7.33,9.31
Rawlins,90,US,1550802960,78,41.79,-107.24,19.4,23.04
Pacific Grove,1,US,1550801700,30,36.62,-121.92,53.6,17.22
Gondanglegi,12,ID,1550803847,84,-7.75,112.01,82.79,2.71
Chase,75,US,1550802900,73,43.89,-85.64,26.6,4.27
Ketchikan,40,US,1550802060,100,55.34,-131.65,37.4,4.7
Inhambane,92,MZ,1550803851,99,-23.87,35.38,73.57,7.63
Simao,0,CN,1550803852,48,22.76,100.79,71.09,2.93
Kalmunai,0,LK,1550803854,93,7.42,81.82,78.56,6.17
Ola,8,RU,1550803855,100,59.58,151.3,-1.41,4.38
Avera,90,US,1550802900,100,33.19,-82.53,69.8,3.94
Cap Malheureux,0,MU,1550803830,100,-19.98,57.61,81.98,7.4
Avarua,88,CK,1550800800,74,-21.21,-159.78,78.8,4.7
Saint Anthony,1,US,1550800560,61,43.97,-111.68,14.0,6.93
Saskylakh,24,RU,1550803864,79,71.97,114.09,-18.55,12.44
Ucluelet,48,CA,1550803620,84,48.94,-125.55,31.76,1.7
Slobodskoy,92,RU,1550803867,94,58.73,50.18,26.36,7.18
Tessalit,0,ML,1550803868,37,20.2,1.01,49.13,8.3
Constitucion,90,MX,1550799780,50,23.99,-104.67,53.6,9.17
Gamba,0,CN,1550803870,71,28.28,88.52,12.23,5.84
Port Lincoln,0,AU,1550803872,76,-34.72,135.86,73.7,11.43
Kavaratti,0,IN,1550803876,99,10.57,72.64,83.47,12.66
Kavieng,48,PG,1550803877,98,-2.57,150.8,84.1,9.64
San Jeronimo,44,PE,1550803878,91,-13.65,-73.37,44.05,1.92
Dikson,12,RU,1550803881,80,73.51,80.55,-12.84,13.44
Clyde River,1,CA,1550800800,68,70.47,-68.59,-20.21,18.34
Along,0,IN,1550803883,50,28.17,94.8,59.48,2.04
Solnechnyy,0,RU,1550803884,68,50.72,136.64,18.89,5.61
Tolaga Bay,92,NZ,1550803886,66,-38.37,178.3,72.53,11.65
Haines Junction,68,CA,1550803887,84,60.75,-137.51,9.35,2.82
Lavrentiya,76,RU,1550803889,95,65.58,-170.99,24.07,13.0
Krasnogvardeyets,36,RU,1550803891,79,46.16,39.17,28.75,8.41
Saint George,0,GR,1550800200,80,39.45,22.34,39.2,2.04
Ornskoldsvik,0,SE,1550802000,77,63.29,18.72,14.0,2.24
Yendi,20,GH,1550803894,44,9.45,0.0,71.77,4.16
Havre-Saint-Pierre,75,CA,1550800800,76,50.23,-63.6,-4.01,3.36
Itarema,80,BR,1550803897,98,-2.92,-39.92,74.38,1.14
Williston,75,US,1550802900,83,48.15,-103.62,-0.41,4.7
Batemans Bay,0,AU,1550803899,76,-35.71,150.18,69.92,6.4
Kota Kinabalu,75,MY,1550800800,70,5.98,116.07,86.0,3.36
Hambantota,0,LK,1550801400,88,6.12,81.12,78.8,10.29
Manaure,0,CO,1550803906,92,11.78,-72.45,78.43,25.19
Novobirilyussy,76,RU,1550803702,86,56.95,90.69,24.43,8.19
Tugulym,40,RU,1550800800,67,57.06,64.64,19.4,11.18
Salta,0,AR,1550800800,83,-24.79,-65.41,78.8,2.24
Victoria,75,BN,1550800800,66,5.28,115.24,87.8,5.82
Sehithwa,0,BW,1550803912,74,-20.47,22.7,64.97,2.71
Zhigansk,64,RU,1550803913,69,66.77,123.37,-10.0,3.6
Oranjestad,40,AW,1550800800,78,12.52,-70.03,78.8,24.16
Grand Island,90,US,1550802900,79,40.92,-98.34,26.6,14.99
Santo Tomas,0,PH,1550803917,67,17.4,121.77,79.82,3.38
Narrabri,0,AU,1550801280,23,-30.33,149.78,87.8,17.22
Nacozari,0,MX,1550803923,74,25.34,-108.26,57.5,3.27
Kefamenanu,20,ID,1550803927,98,-9.45,124.48,76.49,0.69
Havoysund,40,NO,1550800200,94,71.0,24.66,32.0,26.4
Pilar,0,AR,1550800800,74,-34.46,-58.91,84.2,4.7
Byron Bay,100,AU,1550802360,50,-28.65,153.62,80.6,20.8
North Platte,90,US,1550800380,73,41.12,-100.77,24.8,14.99
Zyryanka,44,RU,1550803933,79,65.73,150.89,-18.46,2.93
Meulaboh,12,ID,1550803935,100,4.14,96.13,83.83,4.16
Alyangula,0,AU,1550800800,63,-13.85,136.42,91.4,8.05
Shimminato,75,JP,1550800800,45,36.78,137.07,48.2,3.36
Coihaique,0,CL,1550800800,67,-45.58,-72.07,44.6,4.7
Vangaindrano,92,MG,1550803941,99,-23.35,47.6,71.9,3.94
Bo Phloi,0,TH,1550803942,54,14.32,99.52,89.0,3.71
Russell,0,AR,1550800800,45,-33.01,-68.8,84.2,5.82
Turbat,64,PK,1550803944,55,26.0,63.05,42.52,3.27
Kita,75,JP,1550800800,87,35.76,139.74,51.8,4.7
Hasaki,75,JP,1550800800,50,35.73,140.83,51.8,4.7
Pangnirtung,12,CA,1550803951,78,66.15,-65.72,-26.56,7.4
Mogadishu,24,SO,1550803950,98,2.04,45.34,80.0,18.81
Panama City,90,US,1550801700,100,30.16,-85.65,69.8,9.17
La Ronge,5,CA,1550800800,83,55.1,-105.3,-11.21,2.24
Muisne,68,EC,1550803955,84,0.61,-80.02,75.5,2.59
Ponta Delgada,20,PT,1550802600,87,37.73,-25.67,57.2,20.8
Amahai,8,ID,1550803959,99,-3.31,129.0,84.55,7.18
Naze,20,NG,1550800800,94,5.43,7.07,78.8,9.19
Taonan,0,CN,1550803961,41,45.34,122.78,41.75,9.75
Kindersley,5,CA,1550800800,83,51.47,-109.16,-9.41,18.34
Jiuquan,0,CN,1550803964,61,39.73,98.49,17.0,4.38
Deputatskiy,20,RU,1550803965,40,69.3,139.9,-27.55,2.71
Whitehorse,90,CA,1550802720,85,60.72,-135.06,14.0,8.05
Katobu,0,ID,1550803969,76,-4.94,122.53,88.1,1.14
Husavik,64,CA,1550803970,76,50.56,-96.99,4.67,3.27
Usinsk,20,RU,1550803971,74,66.0,57.56,0.17,10.09
Easton,1,US,1550802900,64,42.02,-71.13,39.2,5.82
Sri Aman,75,MY,1550800800,83,1.24,111.46,80.6,2.24
Mkushi,92,ZM,1550803976,94,-13.61,29.4,66.59,6.73
Mareeba,0,AU,1550800800,66,-16.99,145.42,89.6,9.17
Guerrero Negro,92,MX,1550803979,84,27.97,-114.04,57.68,16.8
Kambove,92,CD,1550803981,95,-10.88,26.6,64.34,4.38
Joshimath,48,IN,1550803982,90,30.57,79.57,16.28,1.48
San Ignacio,100,CL,1550800800,82,-36.8,-72.03,66.2,4.7
Mackay,75,CA,1550800800,66,53.65,-115.58,15.8,10.29
Ulaangom,80,MN,1550803986,69,49.98,92.07,6.83,1.03
Darhan,0,MN,1550803990,47,49.49,105.92,23.53,4.16
Myslenice,90,PL,1550800800,93,49.83,19.94,41.0,9.17
Cariamanga,92,EC,1550803994,96,-4.33,-79.56,67.58,1.36
Slave Lake,90,CA,1550800800,66,55.28,-114.77,12.2,9.17
Luderitz,0,NA,1550803997,79,-26.65,15.16,61.87,13.44
Erzin,40,TR,1550800200,93,36.95,36.2,50.0,2.24
Vestmanna,88,FO,1550803800,100,62.16,-7.17,46.4,8.05
Kalanwali,8,IN,1550804001,100,29.83,74.98,59.08,6.17
Maneromango,20,TZ,1550800800,94,-7.2,38.78,77.0,3.15
Port Augusta,0,AU,1550800800,36,-32.49,137.76,78.8,11.41
Surt,76,LY,1550804005,100,31.21,16.59,50.39,4.94
Rutland,90,US,1550802900,74,43.61,-72.97,39.2,6.17
Sochi,75,RU,1550800800,80,43.6,39.73,41.0,6.71
Pochutla,5,MX,1550799900,65,15.74,-96.47,78.8,6.62
Athabasca,20,CA,1550803975,75,54.72,-113.29,3.68,11.21
Aykhal,36,RU,1550804011,73,65.95,111.51,-3.97,2.48
Ocampo,32,PH,1550804012,81,13.56,123.37,80.77,8.63
Tuatapere,36,NZ,1550804013,97,-46.13,167.69,55.97,21.83
Tromso,75,NO,1550802000,73,69.65,18.96,26.6,17.22
Wakkanai,75,JP,1550800800,80,45.41,141.67,33.8,2.24
Chara,0,GR,1550800200,80,39.42,22.43,39.2,2.04
Islamkot,0,PK,1550804018,63,24.7,70.18,60.7,11.32
Vila Franca do Campo,20,PT,1550802600,87,37.72,-25.43,57.2,20.8
Rawson,92,AR,1550804021,53,-43.3,-65.11,58.9,5.84
Parana,75,BR,1550800800,94,-7.52,-72.89,77.0,4.16
Sabzevar,0,IR,1550804027,68,36.21,57.68,19.97,2.93
Payakumbuh,68,ID,1550804028,92,-0.23,100.63,75.55,2.15
Itoman,75,JP,1550801760,88,26.12,127.67,69.8,17.22
Ngunguru,100,NZ,1550804030,98,-35.62,174.5,71.9,18.81
Elizabeth City,90,US,1550803500,100,36.3,-76.22,53.6,5.28
Ampanihy,32,MG,1550804033,93,-24.69,44.75,58.63,3.04
Porto Novo,75,BR,1550800800,100,-23.68,-45.44,71.6,1.12
Liberty,1,US,1550802900,92,39.64,-84.93,41.0,3.36
Barcelos,0,PT,1550802600,81,41.53,-8.62,53.6,9.17
Golubitskaya,64,RU,1550800800,93,45.32,37.28,35.6,4.47
Port Macquarie,75,AU,1550800980,57,-31.43,152.91,78.8,19.46
Nioro,32,GM,1550804042,38,13.79,-15.05,74.92,7.18
Banda Aceh,0,ID,1550804043,71,5.56,95.32,85.4,5.06
Royan,0,FR,1550802600,80,45.62,-1.03,44.6,3.36
Mayumba,88,GA,1550804045,100,-3.44,10.65,76.13,4.38
Pokosnoye,92,RU,1550804047,81,55.53,101.05,26.0,9.19
Centralia,1,US,1550804100,71,39.21,-92.14,37.4,4.7
Ahipara,100,NZ,1550804049,99,-35.17,173.16,69.52,13.78
Polunochnoye,80,RU,1550804050,80,60.87,60.43,16.42,3.71
Killarney,0,AU,1550804052,56,-28.34,152.3,75.68,13.78
Umea,0,SE,1550802000,75,63.83,20.26,-13.01,2.24
Hami,48,CN,1550804054,77,42.84,93.51,26.5,0.13
Jalu,0,LY,1550804056,77,29.03,21.55,39.95,3.49
Salamanca,0,ES,1550802600,92,40.97,-5.66,28.4,2.71
Yar-Sale,88,RU,1550804058,77,66.83,70.83,-3.93,6.17
Poronaysk,36,RU,1550804059,78,49.22,143.1,23.08,3.04
Wuda,32,CN,1550804060,51,39.5,106.72,34.82,4.27
Innisfail,20,CA,1550800800,77,52.02,-113.95,3.2,11.41
Pasni,32,PK,1550804063,100,25.26,63.48,60.2,12.21
